"...1","text","arousal"
77,"It confirmed some obscure feeling of his about his own character.","H"
4,"As I approached the hut, walking as warily as Stapleton would do when with poised net he drew near the settled butterfly, I satisfied myself that the place had indeed been used as a habita- tion.","L"
195,"The change was right, just, natural; not a word could be said: but I loved my Rhine, my Nile; I had almost worshipped my Ganges, and I grieved that the grand tide should roll estranged, should vanish like a false mirage.","H"
83,"for it was not knowledge but unity that she desired, not inscriptions on tablets, nothing that could be written in any language known to men, but intimacy itself, which is knowledge, she had thought, leaning her head on Mrs. Ramsay's knee.","L"
223,"He stood up and buckled the belt on, while Peyrol rose more  deliberately from the bench, and said:    ""She can't  be where we saw her at anchor last night.","L"
137,"""You are no ruin, sir - no lightning-struck tree: you are green and vigorous.","L"
94,"CHAPTER SEVEN Mrs. Gould was too intelligently sympathetic not to share that feeling.","L"
136,"Mary could not help feeling the simplicity and good faith that lay behind Katharine's words.","L"
237,"If I DO go with him - if I DO make the sacrifice he urges, I will make it absolutely: I will throw all on the altar - heart, vitals, the entire victim.","H"
215,"""As white as clay or death,"" was responded.","H"
147,"At last the gossips thought they had found the key to her conduct, and her uncle was sure of it; and what is more, the discovery showed his niece to him in quite a new light, and he changed his whole deportment to her accordingly.","L"
106,"""The place behind the curtain is empty,"" gasped Taminah, catching her breath between the words.","L"
201,"I am conscious myself of a weight at my heart and a feeling of impending danger - ever present dan- ger, which is the more terrible because I am unable to define it.","H"
231,"I do not know what kind of creatures inhabit such a thicket, but several times we heard the plunging of large, heavy animals quite close to us.","H"
9,"There he was  across the table looking dishevelled and dazed, uncomprehending and  aggrieved, and that head of his proved as hard as ages ago when the  nickname of Testa Dura had been given to him by a Brother of Italian  origin on some occasion or other, some butting match no doubt; just as  he, Peyrol himself, was known for a time on both sides of the Mozambique  Channel as Poigne-de-Fer, after an incident when in the presence of the  Brothers he played at arm's length with the windpipe of an obstreperous  negro sorcerer with an enormous girth of chest.","H"
135,"And yet nobody could have worked harder or done better in all the recognized stages of a young man's life than Ralph had done, and Joan had to gather materials for her fears from trifles in her brother's behavior which would have escaped any other eye.","L"
114,"So, between the old sinner and the young one the girl has had a pretty bad time.""","H"
139,"The wise adviser would be the first victim, no doubt, and death would be his reward.","H"
127,"Confidence has made her honest; forbearance has made her kind-hearted.","L"
25,"""Yes, Mrs Egerton,"" said her father, and went on telling his story about Mrs Egerton, ""whose golden hair was said by the voice of slander not to be entirely her own.""","L"
18,"Bolt was glad to obey, for he was tired and hungry after his dismal  failure.","H"
233,"Not wishing him to go quite away, only desiring he should feel that such a transport as he had that day given way to, could not be indulged with perfect impunity, I was not sorry to see him, soon after, gardening in the berceau.","L"
71,"The ceremony of ancestor-worship had been more than usually oppressive to her.","H"
54,"Already, of course, he had no friendly feeling to his successful rival.","L"
119,"And, perhaps, one day his snow-sepulchre will open, spring's softness will return, the sun and south-wind will reach him; the budding of hedges, and carolling of birds, and singing of liberated streams, will call him to kindly resurrection.","H"
143,"""An Arab trader of this place has sent the information about your goings on here to Batavia, a couple of months ago,"" said the officer.","L"
225,"Anybody may blame me who likes, when I add further, that, now and then, when I took a walk by myself in the grounds; when I went down to the gates and looked through them along the road; or when, while Adele played with her nurse, and Mrs. Fairfax made jellies in the storeroom, I climbed the three staircases, raised the trap-door of the attic, and having reached the leads, looked out afar over sequestered field and hill, and along dim sky-line - that then I longed for a power of vision which might overpass that limit; which might reach the busy world, towns, regions full of life I had heard of but never seen - that then I desired more of practical experience than I possessed; more of intercourse with my kind, of acquaintance with variety of character, than was here within my reach.","L"
154,"With me, then, it seems, you cannot go: but if you are sincere in your offer, I will, while in town, speak to a married missionary, whose wife needs a coadjutor.","L"
176,"He had almost forgotten why he was there, and dreamily he could see all his past life on the smooth and boundless surface that glittered before his eyes.","L"
95,"He filled her with terror and with an almost unbearable feeling of pity.","H"
100,"Thus we find such modern creatures as the tapir - an animal with quite a respectable length of pedigree - the great deer, and the ant-eater in the companionship of reptilian forms of jurassic type.","L"
207,"He took the tumbler with a shaking hand, and as he drank his teeth chattered against the glass which he drained and set down heavily on the table.","H"
73,"Now, down here in the Matto Grande"" - he swept his cigar over a part of the map - ""or up in this corner where three countries meet, nothin' would surprise me.","L"
166,"Ultimately the sailor, disgusted with the sordid meanness of that impenitent thief, deserted from the schooner.","H"
99,"Her features lost the appearance of stony indifference that had exasperated her father into his outburst of anger and sorrow.","H"
148,"Such preference shown by a single gentleman to a single lady would certainly, in ordinary cases, have set in motion the tongues of the gossips; but Cyril Hall was forty-five years old, slightly bald, and slightly gray, and nobody ever said or thought he was likely to be married to Miss Helstone.","L"
52,"He also objected to the Arabs being made use of in that matter; but he suggested Almayer, saying that he was a weak man easily persuaded, and that his friend, the English captain of the steamer, could be made very useful - very likely even would join in the business, smuggling the powder in the steamer without Abdulla's knowledge.","L"
109,"The mill-windows were alight, the bell still rung loud, and now the little children came running in, in too great a hurry, let us hope, to feel very much nipped by the inclement air; and indeed, by contrast, perhaps the morning appeared rather favourable to them than otherwise, for they had often come to their work that winter through snow-storms, through heavy rain, through hard frost.","H"
116,"Cold abstraction, fleshless skeleton, daughter, mother, and mate of Death!","H"
27,"It will excite bad feeling - make a stir - cause perhaps fatal consequences.""","H"
197,"""Truth is not for everybody to know,"" mumbled Peyrol, with a sinking  sensation as though the very ground were going soft under his feet.","L"
97,"After supper, he began to ask me many questions, of where I had been, what I had been doing, how I had found him out; but I gave him only very partial replies: it was too late to enter into particulars that night.","L"
222,"Nearly all of them were totally ruined - an irreparable loss.","H"
130,"She tried to whip up some feeling of affection, of pity.","H"
35,"The last was effected without difficulty by a company of soldiers swarming with a rush over the gangways as she lay alongside the quay; but the lieutenant charged with the duty of arresting the telegraphist halted on the way before the only cafe in Esmeralda, where he distributed some brandy to his men, and refreshed himself at the expense of the owner, a known Ribierist.","L"
104,"Therefore I again earnestly thank God for insult and peril escaped.""","H"
33,"Then, with a wave of the hand dictated by centuries of tradition, Mrs Larpent drew back her foot, as if she had encroached upon one of the chalk marks which decorate academic lintels and, signifying that Mrs Lathom, wife of the Divinity professor, should precede her, they passed out into the rain.","L"
23,"Sitting on the floor with her arms round Mrs. Ramsay's knees, close as she could get, smiling to think that Mrs. Ramsay would never know the reason of that pressure, she imagined how in the chambers of the mind and heart of the woman who was, physically, touching her, were stood, like the treasures in the tombs of kings, tablets bearing sacred inscriptions, which if one could spell them out, would teach one everything, but they would never be offered openly, never made public.","L"
