"...1","text","arousal"
137,"He had sworn a mighty oath to marry her to a white man before he went home and to leave her all his money.","H"
20,"I might have said ""Yes,"" and gone back to nursery obscurity, and there, perhaps, mouldered for the rest of my life; but looking up at Madame, I saw in her countenance a something that made me think twice ere I decided.","L"
165,"Was he our malignant enemy, or was he by chance our guardian angel?","H"
132,"Still she would hold off, and now she would assert for a brief season some of those prides and airs the due of her beauty which she was generally utterly without; would turn her head; would look so, over her shoulder, always with some Minta, Paul, or William Bankes at her side.","L"
90,"They'll say that all their lives, she thought, and an exquisite scent of olives and oil and juice rose from the great brown dish as Marthe, with a little flourish, took the cover off.","L"
198,"The peaceful penetration of Maple White Land was the pressing subject before us.","L"
168,"For that matter, so great a gap separates these ape-men from the primitive animals which have survived upon this plateau, that it is inadmissible to think that they could have developed where we find them.""","L"
97,"Anybody may blame me who likes, when I add further, that, now and then, when I took a walk by myself in the grounds; when I went down to the gates and looked through them along the road; or when, while Adele played with her nurse, and Mrs. Fairfax made jellies in the storeroom, I climbed the three staircases, raised the trap-door of the attic, and having reached the leads, looked out afar over sequestered field and hill, and along dim sky-line - that then I longed for a power of vision which might overpass that limit; which might reach the busy world, towns, regions full of life I had heard of but never seen - that then I desired more of practical experience than I possessed; more of intercourse with my kind, of acquaintance with variety of character, than was here within my reach.","L"
156,"He stood up and buckled the belt on, while Peyrol rose more  deliberately from the bench, and said:    ""She can't  be where we saw her at anchor last night.","H"
30,"She turned her back on him contemptuously, and said curtly, ""Come  along, aunt,"" and went to the door leading to the passage.","L"
106,"""Your nervous system bore a good share of the suffering?""","H"
76,"He also objected to the Arabs being made use of in that matter; but he suggested Almayer, saying that he was a weak man easily persuaded, and that his friend, the English captain of the steamer, could be made very useful - very likely even would join in the business, smuggling the powder in the steamer without Abdulla's knowledge.","H"
49,"""You are no ruin, sir - no lightning-struck tree: you are green and vigorous.","H"
193,"Miss Ingram was a mark beneath jealousy: she was too inferior to excite the feeling.","L"
152,"Mary could not help feeling the simplicity and good faith that lay behind Katharine's words.","H"
103,"Trouble no quiet, kind heart; leave sunny imaginations hope.","L"
113,"Her husband was in great spirits tonight, and wishing, she supposed, to make it all right with old Augustus after that scene about the soup, had drawn him in -  they were telling stories about some one they had both known at college.","H"
177,"Then, with a wave of the hand dictated by centuries of tradition, Mrs Larpent drew back her foot, as if she had encroached upon one of the chalk marks which decorate academic lintels and, signifying that Mrs Lathom, wife of the Divinity professor, should precede her, they passed out into the rain.","L"
40,"On the other hand a wild chaos of boulders and debris made all advance impossible.","H"
117,"""As white as clay or death,"" was responded.","L"
33,"The marks in the road showed me that the horse had wandered on in a way which would have been impossible had there been anyone in charge of it.","L"
151,"He rose, and stirred about the papers on his table, as if in doubt; he then picked up a manuscript, and after spreading it smoothly upon his knee, he looked up at Katharine suspiciously.","H"
