"...1","text","arousal"
50,"Possibly the greatest good requires the existence of a slave class.","H"
173,"It might have been the shadow of a driving cloud, so noiseless and rapid was its passage, but for the trail of disturbed grass, whose feathery heads trembled and swayed for a long time in the moonlight before they rested motionless and gleaming, like a design of silver sprays embroidered on a sombre background.","L"
68,"It had been otherwise in his time when men fought against tyranny, in the forests of Brazil, or on the plains of Uruguay, starving on half-raw beef without salt, half naked, with often only a knife tied to a stick for a weapon.","L"
66,"For they must fight tyranny to the death, she thought.","L"
217,"Still she would hold off, and now she would assert for a brief season some of those prides and airs the due of her beauty which she was generally utterly without; would turn her head; would look so, over her shoulder, always with some Minta, Paul, or William Bankes at her side.","L"
69,"His heart was beating violently with the fear of this liberty.","H"
76,"But what do YOU find insoluble, I asked him, looking at the mahogany man, the clean-shaven, rosy-gilled, mutton-fed man - "" ""The man in a newspaper office,"" North checked her, ""who knew your father.","L"
211,"On the other hand a wild chaos of boulders and debris made all advance impossible.","H"
163,"Giorgio Viola, whom he saw from afar, sitting on a bench under the front wall of the cottage, lifted his arm slightly to his loud hail.","L"
112,"She kept a fine flock of yellow chickens, sketched a little, certain rose-trees in the garden were committed specially to her care; and what with the care of the house, the care of the chickens, and the care of the poor, she scarcely knew what it was to have an idle minute.","L"
194,"He gave that, too; and in the doorway paused for a moment to look at the flat face of the San Tome mountain with a faint frown.","L"
132,"I stayed for the most part at Coombe Tracey, and only used the hut upon the moor when it was necessary to be near the scene of action.","L"
199,"As often happens in the gulf when the showers during the first part of the night had been frequent and heavy, the darkness had thinned considerably towards the morning though there were no signs of daylight as yet.","L"
85,"When the dawn of Christmas morning broke, my Frank was with God.","L"
78,"His mother possessed a good development of benevolence, but he owned a better and larger.","L"
156,"At the same time, he felt drawn to her as he had never been before; partly, no doubt, because she was more independent of him than in London, and seemed to be attached firmly to a world where he had no place at all.","H"
31,"A happy marriage, she thought, that's what I was feeling all the time.","H"
11,"Where the real sex feeling begins, timidity and distrust are its companions, heritage from old wicked days when love and violence went often hand in hand.","H"
140,"May God long preserve to you the blessings of peace and innocence!","H"
157,"Symons  experienced the feeling of a very narrow escape; yet it brought not much  relief.","H"
190,"And again, as she intercepted his cup in passing, and would stir the sugar, and put in the cream herself, ""I always did it for you at home; papa: nobody could do it as well, not even your own self.""","L"
118,"As if any interruption would break the frail shape she was building on the table she turned her back to the window lest Mr. Ramsay should see her.","L"
202,"Entering the house, they repaired to the darkened dining-room, through the open windows of which apartment stole the evening air, bearing the perfume of flowers from the garden, the very distant sound of far-retreating steps from the road, and a soft, vague murmur whose origin Caroline explained by the remark, uttered as she stood listening at the casement, ""Shirley, I hear the beck in the Hollow.""","L"
126,"""Living, as I do, in an educated and scientific atmosphere, I could not have conceived that the first principles of zoology were so little known.","L"
224,"Adele now petitioned to go down; but I took her on my knee, and gave her to understand that she must not on any account think of venturing in sight of the ladies, either now or at any other time, unless expressly sent for: that Mr. Rochester would be very angry,  c. ""Some natural tears she shed"" on being told this; but as I began to look very grave, she consented at last to wipe them.","H"
174,"Perhaps he might bring help; but in any case he would ensure that our lives were not spent for nothing, and that news of all that we had won for Science should reach our friends at home.","H"
179,"Sykes, for instance, when his dressing-shop was set on fire and burned to the ground, when the cloth was torn from his tenters and left in shreds in the field, took no steps to discover or punish the miscreants: he gave up as tamely as a rabbit under the jaws of a ferret.","H"
117,"And when that one came up the stairs - which he soon did, after, I suppose, some such attention to the toilet as the wild and wet night rendered necessary, and strode straight in -  ""Is it you, Graham?""","L"
235,"Don't  bang his head,"" he  cried with unexpected tenderness.","H"
113,"I was certainly feeling very weary, so I obeyed his injunction.","L"
61,"For this reason I saw a good deal of Sir Charles Baskerville.","L"
64,"It is true that we had made a strict resolution against firing, but if it seemed to them that I might be in danger they would not hesitate.","H"
187,"Looking through the darkness, she marked the swelling ground and the tree.","H"
184,"He need fear no desertion as long as some hope remains of that enormous plunder turning up.","H"
162,"His vitality was pleasant, Mary thought, although he made her laugh.","H"
128,"The mere expression of sorrow for the fate of executed kinsmen had been punished with death.","H"
80,"She breathed into the feeling softness; she poured round the passion force.","H"
121,"Cigarette ends, little bits of silver paper, orange peel - all the litter of the day was swept off the pavement and still the carts plodded, and the cabs trotted, indefatigably, along the dowdy pavements of Kensington, under the sparkling lights of Mayfair, carrying ladies with high head dresses and gentlemen in white waistcoats along the hammered dry roads which looked in the moonlight as if they were plated with silver.","L"
32,"He was a long chap, with a red face, the lower part muffled round----"" ""That will do,"" cried Holmes.","H"
89,"but hobbled to her feet again, pulled herself up, and again with her sidelong leer which slipped and turned aside even from her own face, and her own sorrows, stood and gaped in the glass, aimlessly smiling, and began again the old amble and hobble, taking up mats, putting down china, looking sideways in the glass, as if, after all, she had her consolations, as if indeed there twined about her dirge some incorrigible hope.","H"
122,"He stepped back to look at his work admiringly, feeling very proud.","H"
37,"Katharine had forgotten to remove this token of her star-gazing.","L"
216,"What strength or courage could avail against an enemy armed with such mysterious powers?","L"
111,"At the present moment he has not leisure for that ceremony.","L"
144,"said his mother, hiding a glad smile and speaking curtly.","H"
158,"A feeling of peace  sank into him, not unmingled with pride.","H"
55,"She dared not question William; he was inscrutable; he never seemed even to follow the other couple with curiosity when they separated, as they frequently did, to name a plant, or examine a fresco.","L"
198,"He would lead her away to sequestered rustic seats, whence the rush of the surf to the sands was heard soft and soothing; and when he had her all to himself, and the sea lay before them, and the scented shade of gardens spread round, and the tall shelter of cliffs rose behind them, he would pull out his last batch of sonnets, and read them in a voice tremulous with emotion.","H"
