"...1","text","arousal"
51,"I do not know what kind of creatures inhabit such a thicket, but several times we heard the plunging of large, heavy animals quite close to us.","H"
171,"During a deadly struggle against an irreconcilable  enemy his life belonged to his country.","L"
146,"It was a foggy, cloudy morning, and a dun-coloured veil hung over the house-tops, looking like the reflection of the mud-coloured streets beneath.","L"
180,"And yet nobody could have worked harder or done better in all the recognized stages of a young man's life than Ralph had done, and Joan had to gather materials for her fears from trifles in her brother's behavior which would have escaped any other eye.","L"
14,"And he had never run a penny into debt; he had never cost his father a penny since he was fifteen; he had helped them at home out of his savings; he was educating his sister.","H"
152,"Mary could not help feeling the simplicity and good faith that lay behind Katharine's words.","L"
32,"""Their last move of eight o'clock last night was to organize themselves into a Monterist Committee which sits, as far as I know, in a posada kept by a retired Mexican bull-fighter, a great politician, too, whose name I have forgotten.","L"
18,"Mary rose, went to the table, spread out her papers under the green-shaded lamp and, with an action that was becoming a habit, twisted a lock of hair round and round in her fingers.","L"
182,"Symons  experienced the feeling of a very narrow escape; yet it brought not much  relief.","H"
88,"And, perhaps, one day his snow-sepulchre will open, spring's softness will return, the sun and south-wind will reach him; the budding of hedges, and carolling of birds, and singing of liberated streams, will call him to kindly resurrection.","H"
64,"Adele now petitioned to go down; but I took her on my knee, and gave her to understand that she must not on any account think of venturing in sight of the ladies, either now or at any other time, unless expressly sent for: that Mr. Rochester would be very angry,  c. ""Some natural tears she shed"" on being told this; but as I began to look very grave, she consented at last to wipe them.","H"
163,"It would be quite as deadly, and a good deal less noisy than firing across a handkerchief.","L"
25,"For a moment it stayed trembling in a painful but exciting ecstasy in the air.","H"
61,"As often happens in the gulf when the showers during the first part of the night had been frequent and heavy, the darkness had thinned considerably towards the morning though there were no signs of daylight as yet.","H"
178,"The English would have been interested enough to send a boat  ashore to go through our pockets, and whether dead or only half dead we  wouldn't  have been in a state to prevent them.","L"
191,"You quote an isolated sentence from my lecture, and appear to have some difficulty in understanding it.","H"
97,"Anybody may blame me who likes, when I add further, that, now and then, when I took a walk by myself in the grounds; when I went down to the gates and looked through them along the road; or when, while Adele played with her nurse, and Mrs. Fairfax made jellies in the storeroom, I climbed the three staircases, raised the trap-door of the attic, and having reached the leads, looked out afar over sequestered field and hill, and along dim sky-line - that then I longed for a power of vision which might overpass that limit; which might reach the busy world, towns, regions full of life I had heard of but never seen - that then I desired more of practical experience than I possessed; more of intercourse with my kind, of acquaintance with variety of character, than was here within my reach.","H"
141,"Nor was I; but I was a good deal interested and excited.","L"
6,"What strength or courage could avail against an enemy armed with such mysterious powers?","H"
127,"He was a long chap, with a red face, the lower part muffled round----"" ""That will do,"" cried Holmes.","L"
179,"At the same time, he felt drawn to her as he had never been before; partly, no doubt, because she was more independent of him than in London, and seemed to be attached firmly to a world where he had no place at all.","H"
143,"Scorn for scorn, contempt for contempt, hate for hate.","L"
16,"There at the back of the house, squatting on his heels on scattered embers, in close proximity to the great iron boiler, where the family daily rice was being cooked by the women under Mrs. Almayer's superintendence, did that astute negotiator carry on long conversations in Sulu language with Almayer's wife.","L"
4,"Ultimately the sailor, disgusted with the sordid meanness of that impenitent thief, deserted from the schooner.","H"
194,"The person that  came nearest to trying his composure was a certain naval captain with a  patch over one eye and a very threadbare uniform coat who was doing some  administrative work at the Port Office.","L"
174,"The greatest demonstration of all, however, was at the entrance of my new acquaintance, Professor Challenger, when he passed down to take his place at the extreme end of the front row of the platform.","L"
11,"When the  lieutenant turned his back on him Peyrol's pointing arm fell down by his  side; but he watched the lieutenant out of sight before he turned too  and moved in a contrary direction.","L"
91,"Thus we find such modern creatures as the tapir - an animal with quite a respectable length of pedigree - the great deer, and the ant-eater in the companionship of reptilian forms of jurassic type.","L"
107,"""How can I love the man you're engaged to marry?""","H"
63,"Bolt was glad to obey, for he was tired and hungry after his dismal  failure.","H"
193,"Miss Ingram was a mark beneath jealousy: she was too inferior to excite the feeling.","L"
176,"""A false step yonder means death to man or beast.","L"
165,"Was he our malignant enemy, or was he by chance our guardian angel?","L"
105,"What she said was very simple, but her words, even ""Your tea, William,"" were set down as gently and cautiously and exactly as the feet of a Persian cat stepping among China ornaments.","L"
31,"You, whom no persuasion can induce to pass a bull, however quiet he looks, would have firmly shown my housekeeper she had done wrong; then you would have gently and wisely admonished her; and at last, I dare say, provided she had seemed penitent, you would have very sweetly forgiven her.","L"
157,"""Let Miss Eyre be seated,"" said he: and there was something in the forced stiff bow, in the impatient yet formal tone, which seemed further to express, ""What the deuce is it to me whether Miss Eyre be there or not?","L"
142,"She breathed into the feeling softness; she poured round the passion force.","H"
134,"Your glory shall be great, and your reward in powerful friendship.","H"
197,"The Admiral, who had been all the time looking absently at the Amelia  keeping her station with the tartane in tow, said:    ""You have a very smart little ship, Vincent.","L"
147,"He broke off a sentence and let it swim in his mind.","H"
185,"It confirmed some obscure feeling of his about his own character.","H"
44,"Paul set forth on a pilgrimage to Rome; the house was left quite empty, but for me, a servant, and a poor deformed and imbecile pupil, a sort of cretin, whom her stepmother in a distant province would not allow to return home.","H"
76,"He also objected to the Arabs being made use of in that matter; but he suggested Almayer, saying that he was a weak man easily persuaded, and that his friend, the English captain of the steamer, could be made very useful - very likely even would join in the business, smuggling the powder in the steamer without Abdulla's knowledge.","H"
138,"At last in the stress of her fear she did that which might have daunted the bravest or most active man, for by the aid of the growth of ivy which covered  and still covers  the south wall she came down from under the eaves, and so homeward across the moor, there being three leagues betwixt the Hall and her father's farm.","H"
108,"He saw Satan, and Sin his daughter, and Death their horrible offspring.","H"
46,"He need fear no desertion as long as some hope remains of that enormous plunder turning up.","H"
156,"He stood up and buckled the belt on, while Peyrol rose more  deliberately from the bench, and said:    ""She can't  be where we saw her at anchor last night.","L"
43,"His vitality was pleasant, Mary thought, although he made her laugh.","H"
167,"""Yes, Mrs Egerton,"" said her father, and went on telling his story about Mrs Egerton, ""whose golden hair was said by the voice of slander not to be entirely her own.""","L"
166,"I was certainly feeling very weary, so I obeyed his injunction.","H"
