"...1","text","arousal"
41,"Without hurry or flutter he opened a book; found his place; read out a passage, upon which old Curry nodded, and made a note in the great volume that lay open in front of him.","L"
140,"May God long preserve to you the blessings of peace and innocence!","L"
162,"His vitality was pleasant, Mary thought, although he made her laugh.","L"
48,"For that matter, so great a gap separates these ape-men from the primitive animals which have survived upon this plateau, that it is inadmissible to think that they could have developed where we find them.""","L"
117,"And when that one came up the stairs - which he soon did, after, I suppose, some such attention to the toilet as the wild and wet night rendered necessary, and strode straight in -  ""Is it you, Graham?""","L"
186,"I resolved, in the depth of my heart, that I would be most moderate - most correct; and, having reflected a few minutes in order to arrange coherently what I had to say, I told her all the story of my sad childhood.","L"
30,"Paul set forth on a pilgrimage to Rome; the house was left quite empty, but for me, a servant, and a poor deformed and imbecile pupil, a sort of cretin, whom her stepmother in a distant province would not allow to return home.","L"
101,"He was dashed; his feeling was out of all proportion to its object.","H"
194,"He gave that, too; and in the doorway paused for a moment to look at the flat face of the San Tome mountain with a faint frown.","L"
170,"On this occasion her arrogant feeling that she could direct everybody dwindled away.","L"
191,"""Your nervous system bore a good share of the suffering?""","L"
116,"Cold abstraction, fleshless skeleton, daughter, mother, and mate of Death!","H"
39,"Mr. Helstone looked round uneasily once or twice, as if he wished her away; but she was gazing from the window, and did not seem to mind him: so he continued the perusal of his morning paper - a particularly interesting one it chanced to be, as new movements had just taken place in the Peninsula, and certain columns of the journal were rich in long dispatches from General Lord Wellington.","L"
84,"Fuller knowledge of the organization which produced such terrible results served to increase rather than to lessen the horror which it inspired in the minds of men.","H"
22,"Every good, true, vigorous feeling I have gathers impulsively round him.","H"
17,"""My daughter is very young--she is scarce of an age to marry.""","L"
226,"When there, a fresh altercation arose between them, in the course of which Drebber received a blow from the stick, in the pit of the stomach, perhaps, which killed him without leaving any mark.","H"
112,"She kept a fine flock of yellow chickens, sketched a little, certain rose-trees in the garden were committed specially to her care; and what with the care of the house, the care of the chickens, and the care of the poor, she scarcely knew what it was to have an idle minute.","L"
236,"She was like a savage wreaking vengeance upon some brazen victim.","H"
127,"Confidence has made her honest; forbearance has made her kind-hearted.","L"
43,"During a deadly struggle against an irreconcilable  enemy his life belonged to his country.","H"
74,"The person that  came nearest to trying his composure was a certain naval captain with a  patch over one eye and a very threadbare uniform coat who was doing some  administrative work at the Port Office.","L"
73,"Now, down here in the Matto Grande"" - he swept his cigar over a part of the map - ""or up in this corner where three countries meet, nothin' would surprise me.","L"
138,"she cried, feeling the old horror come back - to want and want and not to have.","H"
118,"As if any interruption would break the frail shape she was building on the table she turned her back to the window lest Mr. Ramsay should see her.","L"
87,"You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","L"
103,"Good-by, my wise, dear, grave little god-daughter.","L"
179,"Sykes, for instance, when his dressing-shop was set on fire and burned to the ground, when the cloth was torn from his tenters and left in shreds in the field, took no steps to discover or punish the miscreants: he gave up as tamely as a rabbit under the jaws of a ferret.","H"
144,"said his mother, hiding a glad smile and speaking curtly.","H"
148,"Such preference shown by a single gentleman to a single lady would certainly, in ordinary cases, have set in motion the tongues of the gossips; but Cyril Hall was forty-five years old, slightly bald, and slightly gray, and nobody ever said or thought he was likely to be married to Miss Helstone.","L"
97,"After supper, he began to ask me many questions, of where I had been, what I had been doing, how I had found him out; but I gave him only very partial replies: it was too late to enter into particulars that night.","L"
108,"For the whole world seemed to have dissolved in this early morning hour into a pool of thought, a deep basin of reality, and one could almost fancy that had Mr. Carmichael spoken, for instance, a little tear would have rent the surface pool.","L"
174,"Perhaps he might bring help; but in any case he would ensure that our lives were not spent for nothing, and that news of all that we had won for Science should reach our friends at home.","L"
65,"""Good-morning,"" again said Moore, and finally vanished.","L"
24,"""Well, then, go and fetch it,"" said Nurse, but she was not attending; she wanted to go on with what she was saying to Mrs C. about the grocer's daughter.","L"
131,"""Well, it's up to you to say what you will do,"" said he; ""for my part I have a score to settle with these monkey-folk, and if it ends by wiping them off the face of the earth I don't  see that the earth need fret about it.","L"
220,"She turned her back on him contemptuously, and said curtly, ""Come  along, aunt,"" and went to the door leading to the passage.","H"
40,"I might have said ""Yes,"" and gone back to nursery obscurity, and there, perhaps, mouldered for the rest of my life; but looking up at Madame, I saw in her countenance a something that made me think twice ere I decided.","L"
201,"I am conscious myself of a weight at my heart and a feeling of impending danger - ever present dan- ger, which is the more terrible because I am unable to define it.","H"
133,"For a moment it stayed trembling in a painful but exciting ecstasy in the air.","H"
55,"She dared not question William; he was inscrutable; he never seemed even to follow the other couple with curiosity when they separated, as they frequently did, to name a plant, or examine a fresco.","L"
166,"Ultimately the sailor, disgusted with the sordid meanness of that impenitent thief, deserted from the schooner.","H"
233,"Not wishing him to go quite away, only desiring he should feel that such a transport as he had that day given way to, could not be indulged with perfect impunity, I was not sorry to see him, soon after, gardening in the berceau.","L"
113,"I was certainly feeling very weary, so I obeyed his injunction.","L"
152,"""Their last move of eight o'clock last night was to organize themselves into a Monterist Committee which sits, as far as I know, in a posada kept by a retired Mexican bull-fighter, a great politician, too, whose name I have forgotten.","L"
21,"Shirley showed she had been sincere in saying she should be glad of Caroline's society, by frequently seeking it; and, indeed, if she had not sought it, she would not have had it, for Miss Helstone was slow to make fresh acquaintance.","L"
232,"His legacy was suspense - a worse boon than despair.","L"
107,"I had the same feeling of mystery and danger around us.","H"
