"...1","text","arousal"
25,"""Yes, Mrs Egerton,"" said her father, and went on telling his story about Mrs Egerton, ""whose golden hair was said by the voice of slander not to be entirely her own.""","L"
159,"Might I ask you to hand me my violin, and we will postpone all further thought upon this business until we have had the advantage of meeting Dr. Mortimer and Sir Henry Baskerville in the morning.""","L"
230,"The risk of it was not so much deadly as particularly odious.","H"
214,"While giving way to his bitter mirth, the  rover had caught sight of Arlette's face at the, open window of the  lieutenant's room.","H"
198,"He would lead her away to sequestered rustic seats, whence the rush of the surf to the sands was heard soft and soothing; and when he had her all to himself, and the sea lay before them, and the scented shade of gardens spread round, and the tall shelter of cliffs rose behind them, he would pull out his last batch of sonnets, and read them in a voice tremulous with emotion.","L"
145,"Trouble no quiet, kind heart; leave sunny imaginations hope.","L"
196,"The unfortunate delay can be apportioned between a blundering pilot and an intrusive sandbank.","L"
8,"It was one's body feeling, not one's mind.","L"
188,"""I've got a good deal to say,"" our prisoner said slowly.","L"
50,"Possibly the greatest good requires the existence of a slave class.","H"
11,"Where the real sex feeling begins, timidity and distrust are its companions, heritage from old wicked days when love and violence went often hand in hand.","H"
208,"There at the back of the house, squatting on his heels on scattered embers, in close proximity to the great iron boiler, where the family daily rice was being cooked by the women under Mrs. Almayer's superintendence, did that astute negotiator carry on long conversations in Sulu language with Almayer's wife.","L"
202,"Entering the house, they repaired to the darkened dining-room, through the open windows of which apartment stole the evening air, bearing the perfume of flowers from the garden, the very distant sound of far-retreating steps from the road, and a soft, vague murmur whose origin Caroline explained by the remark, uttered as she stood listening at the casement, ""Shirley, I hear the beck in the Hollow.""","L"
218,"Their dread of the raving tyrant translated itself into a hasty ferocity of procedure.","H"
94,"CHAPTER SEVEN Mrs. Gould was too intelligently sympathetic not to share that feeling.","L"
237,"If I DO go with him - if I DO make the sacrifice he urges, I will make it absolutely: I will throw all on the altar - heart, vitals, the entire victim.","H"
157,"Symons  experienced the feeling of a very narrow escape; yet it brought not much  relief.","H"
109,"The mill-windows were alight, the bell still rung loud, and now the little children came running in, in too great a hurry, let us hope, to feel very much nipped by the inclement air; and indeed, by contrast, perhaps the morning appeared rather favourable to them than otherwise, for they had often come to their work that winter through snow-storms, through heavy rain, through hard frost.","H"
124,"Almayer's elaborately calm demeanour gave way in a moment to an outburst of violent indignation.","H"
110,"It seemed to me that the mists in my own mind were gradually clearing away, and I began to have a dim, vague perception of the truth.","L"
195,"The change was right, just, natural; not a word could be said: but I loved my Rhine, my Nile; I had almost worshipped my Ganges, and I grieved that the grand tide should roll estranged, should vanish like a false mirage.","L"
125,"""A false step yonder means death to man or beast.","H"
15,"Now and then he heard voices in the house, and the closing of bedroom doors, which showed that the building, at the top of which he sat, was inhabited in every one of its cells.","L"
183,"So she flitted - her figure, enlarging as it was, still allowed her to glide between table and chair - hither and thither; removed the fire-screen and set a light, before he could stop her, to the grudging lodging-house fire.","H"
111,"At the present moment he has not leisure for that ceremony.","L"
135,"And yet nobody could have worked harder or done better in all the recognized stages of a young man's life than Ralph had done, and Joan had to gather materials for her fears from trifles in her brother's behavior which would have escaped any other eye.","L"
18,"Bolt was glad to obey, for he was tired and hungry after his dismal  failure.","H"
206,"""Since the tragedy, Mr. Holmes, there have come to my ears several incidents which are hard to reconcile with the settled order of Nature.""","H"
128,"The mere expression of sorrow for the fate of executed kinsmen had been punished with death.","H"
80,"She breathed into the feeling softness; she poured round the passion force.","H"
192,"It would be quite as deadly, and a good deal less noisy than firing across a handkerchief.","L"
169,"""You would lose your money,"" Sherlock Holmes remarked calmly.","L"
85,"When the dawn of Christmas morning broke, my Frank was with God.","L"
36,"The English would have been interested enough to send a boat  ashore to go through our pockets, and whether dead or only half dead we  wouldn't  have been in a state to prevent them.","L"
221,"Every moment he had to wipe his streaming face with his bare fore-arm; he had flung off his coat, and had turned up the sleeves of his shirt high above the elbows; but he kept on his head the large cocked hat with white plumes.","L"
82,"In more fertile spots the observer would have come to the conclusion that one of those great herds of bisons which graze upon the prairie land was approaching him.","L"
23,"Sitting on the floor with her arms round Mrs. Ramsay's knees, close as she could get, smiling to think that Mrs. Ramsay would never know the reason of that pressure, she imagined how in the chambers of the mind and heart of the woman who was, physically, touching her, were stood, like the treasures in the tombs of kings, tablets bearing sacred inscriptions, which if one could spell them out, would teach one everything, but they would never be offered openly, never made public.","H"
197,"""Truth is not for everybody to know,"" mumbled Peyrol, with a sinking  sensation as though the very ground were going soft under his feet.","H"
139,"The wise adviser would be the first victim, no doubt, and death would be his reward.","H"
26,"""God grant me a little comfort before I die!""","L"
98,"He broke off a sentence and let it swim in his mind.","L"
1,"The woman's words came with an intense earnestness which carried conviction with them.","L"
223,"He stood up and buckled the belt on, while Peyrol rose more  deliberately from the bench, and said:    ""She can't  be where we saw her at anchor last night.","L"
6,"Perhaps you would have the kindness to spare me half an hour, for there are one or two things that I badly want to say to you.""","H"
34,"You have sought for her the costliest flowers; you have busied your brain in devising gifts the most delicate: such, one would have thought, as only a woman could have imagined; and in addition, Miss Fanshawe owns a set of ornaments, to purchase which your generosity must have verged on extravagance.""","L"
150,"He had sworn a mighty oath to marry her to a white man before he went home and to leave her all his money.","L"
45,"Your pity, my darling, is the suffering mother of love: its anguish is the very natal pang of the divine passion.","H"
79,"After you left I sent down to Stamford's for the Ordnance map of this portion of the moor, and my spirit has hovered over it all day.","L"
