lat,lng,name,pizzas,price_euro_average,pizza_special,other_stuff,places_circa,take_away,date_java,date,city,country,link,image,,contributors
51.901879,-8.469298,Novecento,20,18,margherita,no,22,yes,2012-01-01,1st January 2012,Cork,Ireland,http://www.irishtourist.com/images/premises/25405/large/1.jpg,<img src = 'http://www.irishtourist.com/images/premises/25405/large/1.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
51.894094,-8.484711,Pizza Amore,12,22,diavola,yes,4,yes,2012-04-23,23rd April 2012,Cork,Ireland,https://babylonradio.com/wp-content/uploads/2019/10/manifesto-300x225.jpg,<img src = 'https://babylonradio.com/wp-content/uploads/2019/10/manifesto-300x225.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
51.892602,-8.505056,Heaven Pizza,50,30,hawai,yes,60,no,2013-04-12,12th April 2012,Cork,Ireland,https://media-cdn.tripadvisor.com/media/photo-s/0a/dd/1b/50/photo0jpg.jpg,<img src = 'https://media-cdn.tripadvisor.com/media/photo-s/0a/dd/1b/50/photo0jpg.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
51.890526,-8.463617,Zicos Pizza,5,50,quattro stagioni,yes,2,yes,2014-07-12,12th July 2014,Cork,Ireland,https://www.placepoint.ie/upload/cover/1537187218_594265.jpg,<img src = 'https://www.placepoint.ie/upload/cover/1537187218_594265.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
51.901108,-8.481898,Franciscan Well Brewery & Brewpub,23,16,scamorza,no,30,no,2013-01-04,04th January 2013,Cork,Ireland,https://media-cdn.tripadvisor.com/media/photo-s/07/a2/12/c3/franciscan-well-brewery.jpg,<img src = 'https://media-cdn.tripadvisor.com/media/photo-s/07/a2/12/c3/franciscan-well-brewery.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
45.761175,11.747989,La Matta,60,10,margherita,"yes
",0,yes,2019-12-09,09th Decembre 2019,Bassano del Grappa,Italy,https://assets.afcdn.com/recipe/20190319/89655_w1024h768c1cx3680cy2456cxt0cyt0cxb7355cyb4911.jpg,<img src = 'https://assets.afcdn.com/recipe/20190319/89655_w1024h768c1cx3680cy2456cxt0cyt0cxb7355cyb4911.jpg'/  style='height: 100%; width: 100%; object-fit: contain'>,,Diandra
45.191308,5.730674,Come Prima,15,15,reine,"yes
",20,yes,2010-01-01,10th October 2019,Grenoble,France,https://media-cdn.tripadvisor.com/media/photo-s/0d/e3/a7/a1/pizza.jpg,<img src = 'https://media-cdn.tripadvisor.com/media/photo-s/0d/e3/a7/a1/pizza.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Diandra
47.38215,0.677217,Speed Rabbit Pizza,14,11.9,internet explorer 8,yes,10,yes,2012-12-09,"9th December 2012
",Tours,France,https://www.pagesjaunes.fr/media/resto/speed_rabbit_pizza_OSD08619860-71355.jpeg?w=1500&h=800&crop=false,<img src = 'https://www.pagesjaunes.fr/media/resto/speed_rabbit_pizza_OSD08619860-71355.jpeg?w=1500&h=800&crop=false'  style='height: 100%; width: 100%; object-fit: contain'/>,,Godot
47.394043,0.681406,Di Gusto,11,7.9,"arancini
",yes,15,yes,2019-06-01,"1st June 2019
",Tours,France,https://media-cdn.tripadvisor.com/media/photo-s/10/d2/fd/51/gusto.jpg,<img src = 'https://media-cdn.tripadvisor.com/media/photo-s/10/d2/fd/51/gusto.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Theo
47.425434,0.701163,Restaurant Tablapizza Tours,15,13.5,charcutière,yes,20,yes,2018-06-01,1st June 2018,Tours,France,https://www.tablapizza.fr/wp-content/uploads/La-Charcuti--re.jpg,<img src = https://www.tablapizza.fr/wp-content/uploads/La-Charcuti--re.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,,Marlene
48.641022,1.823459,Villabate,31,13,l'huile d'olive bio,yes,50,yes,1980-12-09,9th December 1980,Rambouillet,France,http://lesanlazzaro.fr/ressources/common/photo_accueil_2.png,<img src = 'http://lesanlazzaro.fr/ressources/common/photo_accueil_2.png'  style='height: 100%; width: 100%; object-fit: contain'/>,,Caroline
40.833268,14.241734,Pizzeria la Bottega,25,9.5,Pizza Toto,yes,4,yes,1990-12-10,10th December 1990,Lille,France,https://1dc3f33f6d-3.optimicdn.com/gaultmillau.com/photos/d6c3d9aca870d9f0122a42b9b44963bbeb324134/detail.jpg?1507861625,<img src = 'http://lesanlazzaro.fr/ressources/common/photo_accueil_2.png'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
47.32273812,5.043659184,In Teglia,15,13,diavola,no,14,yes,1989-06-04,4th June 1989,Dijon,France,https://www.mysocialrecipe.com/files/admin/immagini/dsc0654-master.jpg,<img src = 'http://lesanlazzaro.fr/ressources/common/photo_accueil_2.png'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
51.20876715,4.462329108,Pita Gianni's,17,9.8,Pizza Chef,yes,40,yes,2002-02-02,2nd February 2002,Antwerp,Belgium,https://fastly.4sqi.net/img/general/width960/4098552_VxVlv9Q-RJWJplio6kjsotm477YbQhd5gTLieBssNz8.jpg,<img src = 'http://lesanlazzaro.fr/ressources/common/photo_accueil_2.png'  style='height: 100%; width: 100%; object-fit: contain'/>,,Bram
48.11285272,11.70582094,Bella Vista Ristorante Pizzeria,14,13,Toscana,yes,45,yes,1993-06-04,4th June 1993,Munich,Germany,http://www.atelierterritorio.com/wp-content/uploads/2013/06/alce-nero-berbere-1.jpg,<img src = 'http://lesanlazzaro.fr/ressources/common/photo_accueil_2.png'  style='height: 100%; width: 100%; object-fit: contain'/>,,Cagla
52.38144903,4.854563749,Pizzeria Michelangelo,16,9,Michelangelo,yes,89,yes,2019-06-07,7th june 2019,Amsterdam,Netherlands,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhCRW-nwp8G2fpwHvV19LBlXnUSiraLklE-Q&usqp=CAU,<img src = 'http://lesanlazzaro.fr/ressources/common/photo_accueil_2.png'  style='height: 100%; width: 100%; object-fit: contain'/>,,Giovanni
48.6942401,6.180726541,La Piazzetta,17,15,Biscotto,yes,155,no,2014-09-12,12th September 2014,Nancy,France,https://www.sitlor.fr/photos/737/737000144_4.jpg,"<img src = ""https://www.sitlor.fr/photos/737/737000144_4.jpg"" style='height: 100%; width: 100%; object-fit: contain'/>",,Nils
16.41202503,120.5995799,Casa Pizzeria,17,5,Super Supreme,yes,8,yes,2013-09-12,12th September 2013,Baguio,Philippines,https://findgoodbaguiofoods.files.wordpress.com/2019/01/2018-12-17-baguio-casa-pizzeria.jpg,"<img src = ""https://www.sitlor.fr/photos/737/737000144_4.jpg"" style='height: 100%; width: 100%; object-fit: contain'/>",,Doris
51.23088309,5.311933114,Il Cuoco,26,11,L'Olivo,yes,56,yes,2010-01-01,1st January 2010,Lommel,Belgium,http://www.irishtourist.com/images/premises/25405/large/1.jpg,"<img src = ""https://www.sitlor.fr/photos/737/737000144_4.jpg"" style='height: 100%; width: 100%; object-fit: contain'/>",,
48.78415253262657,2.0431547965795906,L'oliveto,23,17,la sosta,yes,80,yes,2010-03-24,24th March 2021,Guyancourt,France,https://media-cdn.tripadvisor.com/media/photo-s/11/93/d4/cc/pizza-special-pizzaiolo.jpg,"<img src = ""https://media-cdn.tripadvisor.com/media/photo-s/11/93/d4/cc/pizza-special-pizzaiolo.jpg"" style='height: 100%; width: 100%; object-fit: contain'/>",,
