months,patchanka,folk,rock,punk,trap,rap,hip_hop,disco,classical_music
2004-01,0,89,86,64,41,75,83,76,100
2004-02,42,90,88,60,41,74,79,76,89
2004-03,0,90,92,60,43,73,78,64,89
2004-04,0,96,91,60,48,72,85,71,83
2004-05,0,95,95,60,46,78,90,75,89
2004-06,35,95,92,55,47,66,87,71,73
2004-07,36,100,88,55,44,60,78,73,77
2004-08,100,91,85,55,46,64,77,73,83
2004-09,31,76,84,61,39,77,88,77,82
2004-10,0,79,82,61,39,83,96,81,91
2004-11,32,76,79,55,39,82,94,87,88
2004-12,29,75,78,62,36,82,95,85,85
2005-01,51,75,82,65,36,85,95,82,80
2005-02,27,79,84,63,36,90,94,82,84
2005-03,23,75,87,69,38,92,99,84,76
2005-04,26,80,87,66,40,95,100,82,77
2005-05,0,81,89,66,41,99,100,82,71
2005-06,45,77,92,63,43,96,96,79,68
2005-07,23,91,90,62,41,87,96,76,61
2005-08,22,81,91,58,40,81,95,77,63
2005-09,40,69,84,54,35,82,93,79,64
2005-10,19,65,79,59,35,86,94,86,73
2005-11,0,65,79,55,35,94,91,89,73
2005-12,0,62,82,56,35,99,90,94,74
2006-01,0,69,80,54,34,97,90,88,67
2006-02,17,69,86,53,34,94,85,91,67
2006-03,57,69,86,53,36,100,87,95,61
2006-04,61,63,86,55,37,94,84,93,59
2006-05,28,69,91,56,36,94,83,93,58
2006-06,15,67,87,57,37,83,80,93,51
2006-07,0,88,89,55,38,82,81,92,53
2006-08,0,84,89,53,36,79,78,91,50
2006-09,0,65,80,51,32,82,82,98,57
2006-10,0,62,78,51,32,88,84,100,62
2006-11,0,65,76,49,31,83,83,94,62
2006-12,0,56,75,49,30,89,91,95,62
2007-01,21,63,77,45,29,82,78,84,55
2007-02,0,62,80,44,29,87,79,83,55
2007-03,19,66,84,46,32,86,78,84,55
2007-04,0,62,83,45,33,84,80,83,50
2007-05,0,67,86,47,37,88,78,82,50
2007-06,18,66,86,52,37,86,81,83,48
2007-07,35,77,83,53,37,79,78,81,44
2007-08,25,72,81,54,34,79,76,81,45
2007-09,24,61,88,53,32,84,82,81,53
2007-10,22,63,82,51,32,84,81,86,54
2007-11,21,60,81,56,34,85,77,87,53
2007-12,8,56,84,60,30,87,77,89,51
2008-01,7,61,86,50,32,80,74,81,47
2008-02,7,58,88,49,34,78,74,84,46
2008-03,13,63,88,48,35,81,77,91,45
2008-04,38,62,94,48,35,86,76,94,45
2008-05,6,65,92,46,37,90,79,90,42
2008-06,25,62,98,43,36,85,73,83,37
2008-07,0,71,100,44,38,79,71,86,37
2008-08,25,66,98,44,39,81,75,92,38
2008-09,6,56,100,42,35,84,75,91,41
2008-10,31,56,93,43,35,89,78,91,44
2008-11,11,65,91,39,35,82,75,92,46
2008-12,0,69,95,40,34,88,75,96,44
2009-01,10,72,90,38,33,89,75,88,41
2009-02,5,67,84,38,34,88,74,86,43
2009-03,0,64,87,40,43,87,75,85,41
2009-04,10,62,86,39,39,91,76,86,40
2009-05,23,62,83,38,39,88,75,91,38
2009-06,14,64,86,37,40,87,72,88,35
2009-07,23,73,83,37,40,79,69,90,35
2009-08,14,68,84,39,45,82,74,92,37
2009-09,9,61,79,39,40,81,73,90,39
2009-10,4,63,78,38,43,83,76,92,42
2009-11,12,61,77,38,43,80,71,92,41
2009-12,12,59,82,36,41,83,72,92,40
2010-01,4,58,76,36,41,78,68,85,38
2010-02,4,55,78,34,42,78,66,87,39
